"Imported Profiles","Company Table Data (Company filter table test (superhero))","First Name","Last Name","Full Name","Job Title","Location","Company Domain","LinkedIn Profile","Enrich Person from LinkedIn Profile","Picture Url Orig","Picture Url Copy","LinkedIn Picture Check","Image Description","Attribute Descriptions","Response","JSON Reformat (1)"
,,"Walter Xavier","Palhetas","Walter Xavier Palhetas","Chief Revenue Officer (CRO) & VP Global Sales & Customer Success","Greater Seattle Area","autodesk.com","https://linkedin.com/in/walter-xavier-palhetas","Walter Xavier Palhetas","https://media.licdn.com/dms/image/D5603AQHrJ4Lulkkv8w/profile-displayphoto-shrink_800_800/0/1698350929218?e=1718841600&v=beta&t=TBIlITezzWGncNTWUcAoVW7ApFP9La_sFEMy_htDiTI","https://media.licdn.com/dms/image/D5603AQHrJ4Lulkkv8w/profile-displayphoto-shrink_800_800/0/1698350929218?e=1718841600&v=beta&t=TBIlITezzWGncNTWUcAoVW7ApFP9La_sFEMy_htDiTI","true",,,,
,,"Ryan","Jones","Ryan Jones","Chief Revenue Officer","Dallas-Fort Worth Metroplex","allsynx.com","https://linkedin.com/in/rjallsynx","Ryan Jones","https://media.licdn.com/dms/image/D4E03AQH9IP-Cs3fs0Q/profile-displayphoto-shrink_800_800/0/1707826391653?e=1718841600&v=beta&t=wqv5WyVhPBgHZ8bW7IFNu51QKCpw8AC_-lEOMzLjKAI","https://media.licdn.com/dms/image/D4E03AQH9IP-Cs3fs0Q/profile-displayphoto-shrink_800_800/0/1707826391653?e=1718841600&v=beta&t=wqv5WyVhPBgHZ8bW7IFNu51QKCpw8AC_-lEOMzLjKAI","true",,,,
,,"Bobby","Moon","Bobby Moon","Vice President - Sales","Raleigh-Durham-Chapel Hill Area","pepsibottlingventures.com","https://linkedin.com/in/bobby-moon-7b788111","Bobby Moon","https://media.licdn.com/dms/image/C4E03AQG4OXG5SmloPw/profile-displayphoto-shrink_400_400/0/1562699162261?e=1718841600&v=beta&t=yMzRBM2njG35Lob_92997Fn7aHoKnw2KanRAT-XskmI","https://media.licdn.com/dms/image/C4E03AQG4OXG5SmloPw/profile-displayphoto-shrink_400_400/0/1562699162261?e=1718841600&v=beta&t=yMzRBM2njG35Lob_92997Fn7aHoKnw2KanRAT-XskmI","true",,,,
,,"Ronald","Morton","Ronald Morton","Chief Revenue Officer","Dallas-Fort Worth Metroplex","oncospark.com","https://linkedin.com/in/ronald-morton-52bb9b181","Ronald Morton","https://media.licdn.com/dms/image/D5603AQFCVOR_Rcnf9A/profile-displayphoto-shrink_800_800/0/1668952481317?e=1718841600&v=beta&t=h74-Y1oPYJraJLDUUnAiGz_sK8wD_PMo908b4dQRe88","https://media.licdn.com/dms/image/D5603AQFCVOR_Rcnf9A/profile-displayphoto-shrink_800_800/0/1668952481317?e=1718841600&v=beta&t=h74-Y1oPYJraJLDUUnAiGz_sK8wD_PMo908b4dQRe88","true",,,,
,,"Arthur Scott","Cooper","Arthur Scott Cooper","Chief Revenue Officer","Dallas-Fort Worth Metroplex","armeta.com","https://linkedin.com/in/arthurcooperceo","Arthur Scott Cooper","https://media.licdn.com/dms/image/C5603AQESks8IA3a9gg/profile-displayphoto-shrink_800_800/0/1654482156202?e=1718841600&v=beta&t=kD_Q_fwiCGod42xI1AkkpDDoIPnydN17piqwjank-XA","https://media.licdn.com/dms/image/C5603AQESks8IA3a9gg/profile-displayphoto-shrink_800_800/0/1654482156202?e=1718841600&v=beta&t=kD_Q_fwiCGod42xI1AkkpDDoIPnydN17piqwjank-XA","true",,,,
,,"Andy","Meek","Andy Meek","Chief Revenue Officer","Dallas-Fort Worth Metroplex","integraconnect.com","https://linkedin.com/in/andymeek","Andy Meek","https://media.licdn.com/dms/image/D5603AQF2eg2qgxA1yQ/profile-displayphoto-shrink_800_800/0/1688330148457?e=1718841600&v=beta&t=Yin0JeIYgi9jKXzwfsT2b75J_Z2S0kPlAtcMYFFRX4Y","https://media.licdn.com/dms/image/D5603AQF2eg2qgxA1yQ/profile-displayphoto-shrink_800_800/0/1688330148457?e=1718841600&v=beta&t=Yin0JeIYgi9jKXzwfsT2b75J_Z2S0kPlAtcMYFFRX4Y","true",,,,
,,"Bill","Brewer","Bill Brewer","Chief Revenue Officer","Dallas-Fort Worth Metroplex","psgconsults.com","https://linkedin.com/in/bibrewer","Bill Brewer","https://media.licdn.com/dms/image/D4E03AQEm69Tq0S3rMg/profile-displayphoto-shrink_800_800/0/1711144860671?e=1718841600&v=beta&t=VPQAF8_WdnWMoyA2twb7xU9QlN9CEeZZg9GNkvPHOiU","https://media.licdn.com/dms/image/D4E03AQEm69Tq0S3rMg/profile-displayphoto-shrink_800_800/0/1711144860671?e=1718841600&v=beta&t=VPQAF8_WdnWMoyA2twb7xU9QlN9CEeZZg9GNkvPHOiU","true",,,,
,,"Mark","Elliott","Mark Elliott","Chief Revenue Officer","Dallas-Fort Worth Metroplex","the20.com","https://linkedin.com/in/mark-d-elliott","Mark Elliott","https://media.licdn.com/dms/image/C5603AQHxzpO8YhzbKA/profile-displayphoto-shrink_800_800/0/1604598109104?e=1718841600&v=beta&t=QokehbEM6u4Mc1gQjEKWpOAcqbfW-WdHOCTbbLSxIW8","https://media.licdn.com/dms/image/C5603AQHxzpO8YhzbKA/profile-displayphoto-shrink_800_800/0/1604598109104?e=1718841600&v=beta&t=QokehbEM6u4Mc1gQjEKWpOAcqbfW-WdHOCTbbLSxIW8","true",,,,
,,"Brett","Beebe","Brett Beebe","Chief Revenue Officer","Dallas-Fort Worth Metroplex","agoradata.com","https://linkedin.com/in/wbrettbeebe1212","Brett Beebe","https://media.licdn.com/dms/image/D4D03AQEELgxTP4CCWA/profile-displayphoto-shrink_800_800/0/1698184672852?e=1718841600&v=beta&t=QM85ZFLlxpJsQyI1XTDS6tlHCKmDOd_BSt-80UTEeCk","https://media.licdn.com/dms/image/D4D03AQEELgxTP4CCWA/profile-displayphoto-shrink_800_800/0/1698184672852?e=1718841600&v=beta&t=QM85ZFLlxpJsQyI1XTDS6tlHCKmDOd_BSt-80UTEeCk","true",,,,
,,"Don","Fisher","Don Fisher","President and Chief Revenue Officer","Raleigh-Durham-Chapel Hill Area",,"https://linkedin.com/in/don-fisher-rdu","Don Fisher","https://media.licdn.com/dms/image/C4E03AQG-lyg3c-8iQQ/profile-displayphoto-shrink_800_800/0/1567604515056?e=1718841600&v=beta&t=0cqC2wkMlIRBrlCub6L5nNm-nyzMo6eK91Kzd9ni0Jo","https://media.licdn.com/dms/image/C4E03AQG-lyg3c-8iQQ/profile-displayphoto-shrink_800_800/0/1567604515056?e=1718841600&v=beta&t=0cqC2wkMlIRBrlCub6L5nNm-nyzMo6eK91Kzd9ni0Jo","true",,,,
,,"Jon","Spurger","Jon Spurger","Chief Operating Officer    Vice President of Sales","Dallas-Fort Worth Metroplex",,"https://linkedin.com/in/jon-spurger-64a80815","Jon Spurger","https://media.licdn.com/dms/image/C4E03AQFx8U0IZcET0g/profile-displayphoto-shrink_800_800/0/1602599028343?e=1718841600&v=beta&t=panKWUKDlSfoQ7JKKg4kzCwoQ_aqbkR7JAFoqqsWf0g","https://media.licdn.com/dms/image/C4E03AQFx8U0IZcET0g/profile-displayphoto-shrink_800_800/0/1602599028343?e=1718841600&v=beta&t=panKWUKDlSfoQ7JKKg4kzCwoQ_aqbkR7JAFoqqsWf0g","true",,,,
,,"Jim","Gould","Jim Gould","Vice President Sales","Kansas City Metropolitan Area","performancefoodservice.com","https://linkedin.com/in/jim-gould-a8065732","Jim Gould","https://media.licdn.com/dms/image/C5603AQEvQ1a-3Ff12A/profile-displayphoto-shrink_400_400/0/1516508484280?e=1718841600&v=beta&t=2tW0ekhtmXxqhq1xs1FgbjU4FlzKb-AI6MvQHTLh0p0","https://media.licdn.com/dms/image/C5603AQEvQ1a-3Ff12A/profile-displayphoto-shrink_400_400/0/1516508484280?e=1718841600&v=beta&t=2tW0ekhtmXxqhq1xs1FgbjU4FlzKb-AI6MvQHTLh0p0","true",,,,
,,"Jason","Taylor","Jason Taylor","Vice President Sales","Kansas City Metropolitan Area","deneadams.com","https://linkedin.com/in/jason-taylor-2ba999112","Jason Taylor","https://media.licdn.com/dms/image/C4D03AQFR7YBJZ_q0QA/profile-displayphoto-shrink_800_800/0/1594002492144?e=1718841600&v=beta&t=BzeYhfYJ9IrCQjORhh4kQQbOoXQrkejMA4pwm2pbXo8","https://media.licdn.com/dms/image/C4D03AQFR7YBJZ_q0QA/profile-displayphoto-shrink_800_800/0/1594002492144?e=1718841600&v=beta&t=BzeYhfYJ9IrCQjORhh4kQQbOoXQrkejMA4pwm2pbXo8","true",,,,
,,"Darren","McKee","Darren McKee","Vice President of Sales","Raleigh-Durham-Chapel Hill Area","joinskye.com","https://linkedin.com/in/mckeesaasbros","Darren McKee","https://media.licdn.com/dms/image/D5603AQFJlOsbN_O-pg/profile-displayphoto-shrink_800_800/0/1676668169091?e=1718841600&v=beta&t=gXBHdgWEU4ykrlRbL-0uAJGVSg4po-0vOlW94tfpULs","https://media.licdn.com/dms/image/D5603AQFJlOsbN_O-pg/profile-displayphoto-shrink_800_800/0/1676668169091?e=1718841600&v=beta&t=gXBHdgWEU4ykrlRbL-0uAJGVSg4po-0vOlW94tfpULs","true",,,,
,,"Dave","White","Dave White","Vice President of Sales","Raleigh-Durham-Chapel Hill Area","rdtonline.com","https://linkedin.com/in/davewhite37","Dave White","https://media.licdn.com/dms/image/C4E03AQHVlSPC7jaztQ/profile-displayphoto-shrink_800_800/0/1548362996605?e=1718841600&v=beta&t=lOAdYj_dsGCVHpJ8CnD_odDADQ1uv6xirI10RnuirQk","https://media.licdn.com/dms/image/C4E03AQHVlSPC7jaztQ/profile-displayphoto-shrink_800_800/0/1548362996605?e=1718841600&v=beta&t=lOAdYj_dsGCVHpJ8CnD_odDADQ1uv6xirI10RnuirQk","true",,,,
,,"Darren","McKee","Darren McKee","Vice President of Sales","Raleigh-Durham-Chapel Hill Area","joinskye.com","https://linkedin.com/in/darrenmckeesales","Darren McKee","https://media.licdn.com/dms/image/D5603AQFJlOsbN_O-pg/profile-displayphoto-shrink_800_800/0/1676668169091?e=1718841600&v=beta&t=gXBHdgWEU4ykrlRbL-0uAJGVSg4po-0vOlW94tfpULs","https://media.licdn.com/dms/image/D5603AQFJlOsbN_O-pg/profile-displayphoto-shrink_800_800/0/1676668169091?e=1718841600&v=beta&t=gXBHdgWEU4ykrlRbL-0uAJGVSg4po-0vOlW94tfpULs","true",,,,
,,"Hayley","Day","Hayley Day","Vice President of Sales","Raleigh-Durham-Chapel Hill Area","tangibleglobal.com","https://linkedin.com/in/hayleyjday","Hayley Day","https://media.licdn.com/dms/image/D4D03AQGMRDAlaKyQKA/profile-displayphoto-shrink_800_800/0/1710348226064?e=1718841600&v=beta&t=IMBqMrO3OK2jz3m5wCAsUK8omlDfhN3Efue1T4uuFrg","https://media.licdn.com/dms/image/D4D03AQGMRDAlaKyQKA/profile-displayphoto-shrink_800_800/0/1710348226064?e=1718841600&v=beta&t=IMBqMrO3OK2jz3m5wCAsUK8omlDfhN3Efue1T4uuFrg","true","Female, Light, Blonde, Medium, Average, Front, No, Yes",,,
,,"Jeremy","Schultz","Jeremy Schultz","Vice President, Sales and Marketing","Salt Lake City Metropolitan Area","cayenta.com","https://linkedin.com/in/jeremydschultz","Jeremy Schultz","https://media.licdn.com/dms/image/C5603AQFcg82Z-kLVdw/profile-displayphoto-shrink_800_800/0/1590089962110?e=1718841600&v=beta&t=idYN8lvdF8OTN4QOqcXw0kLE0UqnYukdvZa5gTOyUdM","https://media.licdn.com/dms/image/C5603AQFcg82Z-kLVdw/profile-displayphoto-shrink_800_800/0/1590089962110?e=1718841600&v=beta&t=idYN8lvdF8OTN4QOqcXw0kLE0UqnYukdvZa5gTOyUdM","true",,,,
,,"Matt","Ferry","Matt Ferry","Chief Revenue Officer (CRO)","New York City Metropolitan Area","gramener.com","https://linkedin.com/in/mattferry","Matt Ferry","https://media.licdn.com/dms/image/C5603AQGIVpS3l_Subw/profile-displayphoto-shrink_800_800/0/1636055404337?e=1718841600&v=beta&t=CkfUPa14QHE5Mtjq8CsOGVUsr3xZbtkfn9hnRk7gk7o","https://media.licdn.com/dms/image/C5603AQGIVpS3l_Subw/profile-displayphoto-shrink_800_800/0/1636055404337?e=1718841600&v=beta&t=CkfUPa14QHE5Mtjq8CsOGVUsr3xZbtkfn9hnRk7gk7o","true",,,,
